# Temperature (eV), N total, Z (dirichlet)
  0.0100, 11.1585,  3.1950
  5.0000, 12.9905,  3.2879
 10.0000, 12.9905,  3.3374
 15.0000, 12.9905,  3.4853
 20.0000, 12.9905,  3.8064
 25.0000, 12.9905,  4.2129
 30.0000, 12.9905,  4.6388
 35.0000, 12.9905,  5.0568
 40.0000, 12.9905,  5.4565
 45.0000, 12.9905,  5.8339
 50.0000, 12.9905,  6.1879
 55.0000, 12.9905,  6.5189
 60.0000, 12.9905,  6.8276
 65.0000, 12.9904,  7.1152
 70.0000, 12.9903,  7.3828
 75.0000, 12.9902,  7.6317
 80.0000, 12.9898,  7.8630
 85.0000, 12.9893,  8.0776
 90.0000, 12.9885,  8.2768
 95.0000, 12.9873,  8.4613
100.0000, 12.9856,  8.6320
